[building  the model]
.....................layer0 is built,(conv+pool)
.....................layer1 is built,(conv+pool)
.....................layer2,layer3 are built,(MLP+LR)
[compiling the model]
############################
# Compliled,start training #
############################

epoch 267 ,iteration 26699,training cost 0.256792 %,train error 0.000000 %,validation error 1.000000 %
epoch 268 ,iteration 26799,training cost 0.245162 %,train error 0.000000 %,validation error 1.050000 %
epoch 269 ,iteration 26899,training cost 0.298457 %,train error 0.000000 %,validation error 1.120000 %
epoch 270 ,iteration 26999,training cost 0.257556 %,train error 0.000000 %,validation error 1.010000 %
epoch 271 ,iteration 27099,training cost 0.228792 %,train error 0.000000 %,validation error 0.980000 %
epoch 272 ,iteration 27199,training cost 0.222054 %,train error 0.000000 %,validation error 1.060000 %
epoch 273 ,iteration 27299,training cost 0.191467 %,train error 0.000000 %,validation error 0.980000 %
epoch 274 ,iteration 27399,training cost 0.243884 %,train error 0.000000 %,validation error 1.020000 %
epoch 275 ,iteration 27499,training cost 0.374932 %,train error 0.000000 %,validation error 1.070000 %
epoch 276 ,iteration 27599,training cost 0.243113 %,train error 0.000000 %,validation error 1.020000 %
epoch 277 ,iteration 27699,training cost 0.195624 %,train error 0.000000 %,validation error 1.070000 %
epoch 278 ,iteration 27799,training cost 0.151240 %,train error 0.000000 %,validation error 0.980000 %
epoch 279 ,iteration 27899,training cost 0.232239 %,train error 0.000000 %,validation error 1.000000 %
epoch 280 ,iteration 27999,training cost 0.181656 %,train error 0.000000 %,validation error 1.080000 %
epoch 281 ,iteration 28099,training cost 0.141092 %,train error 0.000000 %,validation error 1.060000 %
epoch 282 ,iteration 28199,training cost 0.430019 %,train error 0.200000 %,validation error 0.980000 %
epoch 283 ,iteration 28299,training cost 0.188386 %,train error 0.000000 %,validation error 1.030000 %
epoch 284 ,iteration 28399,training cost 0.160277 %,train error 0.000000 %,validation error 1.090000 %
epoch 285 ,iteration 28499,training cost 0.183799 %,train error 0.000000 %,validation error 1.130000 %
epoch 286 ,iteration 28599,training cost 0.140695 %,train error 0.000000 %,validation error 1.030000 %
epoch 287 ,iteration 28699,training cost 0.197865 %,train error 0.000000 %,validation error 1.010000 %
epoch 288 ,iteration 28799,training cost 0.148700 %,train error 0.000000 %,validation error 0.980000 %
